No.,Douyin ID,Name,URL,Status,Checked_At
1,_Caitlin529,🐨小付同学,https://live.douyin.com/_Caitlin529,Offline,
2,ahsokwmalk_2619.,🥔豆_豆_²💃,﻿https://live.douyin.com/ahsokwmalk_2619.,Offline,
3,aimiccc,野理理,https://live.douyin.com/aimiccc,Offline,
4,amas.,阿曼妲,https://live.douyin.com/amas.,Offline,
5,amberly1208,安啵栗🎹,https://live.douyin.com/amberly1208,Offline,
6,amq0701,安琪⁰⁷⁰¹,https://live.douyin.com/amq0701,Offline,
8,annellyy,真是戴不动,https://live.douyin.com/annellyy,Offline,
10,bak0314,白白呀,https://live.douyin.com/bak0314,Offline,
11,batm11,叮叮炒面,https://live.douyin.com/batm11,Offline,
12,bazhang888,巴掌,https://live.douyin.com/bazhang888,Offline,
13,bbxa88888888,百变小艾,https://live.douyin.com/bbxa88888888,Offline,
14,bbya223,mini_bb呀,https://live.douyin.com/bbya223,Offline,
15,beta56940,换轮胎的贝塔,https://live.douyin.com/beta56940,Offline,
16,b1uesheep,蓝羊羊不懒,https://live.douyin.com/b1uesheep,Offline,
17,cancan52086,灿灿_🌋,https://live.douyin.com/cancan52086,Offline,
18,cccaccc321,菲律宾铁猴子,https://live.douyin.com/cccaccc321,Offline,
19,ccookieee,小陈哈妮,https://live.douyin.com/ccookieee,Offline,
20,cczplyyy,凌小野(休假版),https://live.douyin.com/cczplyyy,Offline,
21,chachayuan,凛0🔔(观月苏版),https://live.douyin.com/chachayuan,Offline,
22,chaoren.277,你的琦哥(2_4🎂🎂),https://live.douyin.com/chaoren.277,Offline,
23,chenlvyin,阿绿茵,https://live.douyin.com/chenlvyin,Offline,
24,chuchu099,Chuchu钢琴时光🎹,https://live.douyin.com/chuchu099,Offline,
25,chunchunchunchun,纯纯🥛,https://live.douyin.com/chunchunchunchun,Offline,
27,clp20020828,湾子,https://live.douyin.com/clp20020828,Offline,
29,cubeZZ,蒸羊羔儿,https://live.douyin.com/cubeZZ,Offline,
30,cuweikele,啊对对对可醋就是kk,https://live.douyin.com/cuweikele,Offline,
31,cxx2003322,初什么夏🦋,https://live.douyin.com/cxx2003322,Offline,
32,cysg6666,我叫阿狸呀,https://live.douyin.com/cysg6666,Offline,
34,dbb20051017,奶油小贝,https://live.douyin.com/dbb20051017,Offline,
35,dds012,糖糖蜜糖,https://live.douyin.com/dds012,Offline,
36,ddxiaomi7,苏浅,https://live.douyin.com/ddxiaomi7,Offline,
37,dengder913,温柔你邓邓,https://live.douyin.com/dengder913,Offline,
39,doublexing3366,南诏💫古筝,https://live.douyin.com/doublexing3366,Offline,
41,dream42191,薯片片片片片,https://live.douyin.com/dream42191,Offline,
42,duoerzcr1314,小嘻嘻⁵²⁷⁷,https://live.douyin.com/duoerzcr1314,Offline,
43,dyazr6e2phcz,好烦呐,https://live.douyin.com/dyazr6e2phcz,Offline,
44,dybnqji7zwgdd,小青琴,https://live.douyin.com/dybnqji7zwgdd,Offline,
45,dyfc0usrr4ql,小吴见大吴,https://live.douyin.com/dyfc0usrr4ql,Offline,
46,dyfvl6m5l3if,静静babe,https://live.douyin.com/dyfvl6m5l3if,Offline,
47,dylj0vbwa798,芽🌱(新年快乐哇),https://live.douyin.com/dylj0vbwa798,Offline,
48,dy4n5jzlvt56,Beibei,https://live.douyin.com/dy4n5jzlvt56,Offline,
49,dy62c1wxjbiy,大提琴望舒,https://live.douyin.com/dy62c1wxjbiy,Offline,
50,dy9rsugeq2a0,啵崽糕,https://live.douyin.com/dy9rsugeq2a0,Offline,
51,expectopatronumK,狸珂嘉,https://live.douyin.com/expectopatronumK,Offline,
52,ff000789ff,菲菲～,https://live.douyin.com/ff000789ff,Offline,
54,fy1212y,芳媛💃,https://live.douyin.com/fy1212y,Offline,
55,geniuswow,赚钱就像喝水一样简单(邪恶牛肉面版🍜),https://live.douyin.com/geniuswow,Offline,
56,gggjjc123,兔兔💃,https://live.douyin.com/gggjjc123,Offline,
57,ghl1688899,橘子气泡水🍃🎙️(重生版),https://live.douyin.com/ghl1688899,Offline,
58,gogogo_upupup_,新羽Fly_🪽,https://live.douyin.com/gogogo_upupup_,Offline,
59,guanguan505,关关,https://live.douyin.com/guanguan505,Offline,
60,guiguizi712,桂桂₊⁺☁₊⁺,https://live.douyin.com/guiguizi712,Offline,
61,hahaha1889527,小允真,https://live.douyin.com/hahaha1889527,Offline,
62,hallozoey,Zoey佐伊,https://live.douyin.com/hallozoey,Offline,
65,heqiangwoaini,915猫猫👯,https://live.douyin.com/heqiangwoaini,Offline,
66,hera1223,夏夏Hera⭐️,https://live.douyin.com/hera1223,Offline,
67,hetun1314567,Sweety甜茶,https://live.douyin.com/hetun1314567,Offline,
69,hh16947,喜欢🌩️,https://live.douyin.com/hh16947,Offline,
70,huohuotang3,墨尔本获宝🔥(永不停播_),https://live.douyin.com/huohuotang3,Offline,
71,hxr041121,软雪花uuu,https://live.douyin.com/hxr041121,Offline,
72,hx88866.,韩哈哈-,https://live.douyin.com/hx88866.,Offline,
73,id851290,雪梨钢琴🎹,https://live.douyin.com/id851290,Offline,
74,iiiye_2001,Metoo羔羊,https://live.douyin.com/iiiye_2001,Offline,
75,iuuu1437,iuuu,https://live.douyin.com/iuuu1437,Offline,
76,jaja0821,jaja➕,https://live.douyin.com/jaja0821,Offline,
78,jiafeimaoCC,婉儿🌻⁶¹⁹(红红火火回家过大年喽),https://live.douyin.com/jiafeimaoCC,Offline,
79,jiangyuner,奔跑的姜允儿,https://live.douyin.com/jiangyuner,Offline,
80,jianxiaoc,简小橙🍊,https://live.douyin.com/jianxiaoc,Offline,
81,jiemowan111,芥末丸,https://live.douyin.com/jiemowan111,Offline,
82,jinbuhuan_a,扶瑶o,https://live.douyin.com/jinbuhuan_a,Offline,
84,jl610,锦鲤🐟,https://live.douyin.com/jl610,Offline,
85,jnmz912,就那么宅,https://live.douyin.com/jnmz912,Offline,
86,junjunml1314,梦璃古箜篌🌙,https://live.douyin.com/junjunml1314,Offline,
87,jxsh8888888888,柔柔🍀,https://live.douyin.com/jxsh8888888888,Offline,
88,jxx4563,荆兮兮,https://live.douyin.com/jxx4563,Offline,
89,jyj1113jyj.,就姜紫ba,https://live.douyin.com/jyj1113jyj.,Offline,
90,karinnnnie,小何何,https://live.douyin.com/karinnnnie,Offline,
91,keaiAnAn1,多巴安安,https://live.douyin.com/keaiAnAn1,Offline,
92,kekou5211,可口CoCo(2_6生日版),https://live.douyin.com/kekou5211,Offline,
93,keyanbeibi27,小甜北鼻🍎,https://live.douyin.com/keyanbeibi27,Offline,
94,klola,克罗拉,https://live.douyin.com/klola,Offline,
95,koukouzi123,口子睡了(年前不定时开播版),https://live.douyin.com/koukouzi123,Offline,
96,lala75847,王珂艺,https://live.douyin.com/lala75847,Offline,
98,lanwan,蓝万,https://live.douyin.com/lanwan,Offline,
99,lhy8989,彩虹屁不臭,https://live.douyin.com/lhy8989,Offline,
100,liliDDD0,理理小不点,https://live.douyin.com/liliDDD0,Offline,
101,lilyatw,雨勳xūn,https://live.douyin.com/lilyatw,Offline,
102,lingling980719,弹琴的花花⁵²⁸⁸🌸,https://live.douyin.com/lingling980719,Offline,
103,liutongxuedd,艺术💃佳,https://live.douyin.com/liutongxuedd,Offline,
104,liuxiaoliu999,六小六🌶️9616(中午12_50直播,https://live.douyin.com/liuxiaoliu999,Offline,
105,liv2333,Lilrue乖乖,https://live.douyin.com/liv2333,Offline,
106,llin0515,栗栗酥,https://live.douyin.com/llin0515,Offline,
107,lllllljq,嘉菲猫猫虫,https://live.douyin.com/lllllljq,Offline,
108,lllllIlllIlllII_,薇薇ゞ,https://live.douyin.com/lllllIlllIlllII_,Offline,
109,lllQAQllllll_,QAQ羊,https://live.douyin.com/lllQAQllllll_,Offline,
110,llx_02,李丽欣,https://live.douyin.com/llx_02,Offline,
111,llyuanyuan1120,园园的脑袋(六边形版),https://live.douyin.com/llyuanyuan1120,Offline,
112,lly010203,玲玉🦩,https://live.douyin.com/lly010203,Offline,
